"date","BTC","QQQ","GLD"
2020-01-02,6985.47021484375,208.848937988281,143.949996948242
2020-01-03,7344.88427734375,206.935882568359,145.860000610352
2020-01-06,7769.21923828125,208.269241333008,147.389999389648
2020-01-07,8163.6923828125,208.240264892578,147.970001220703
2020-01-08,8079.86279296875,209.805480957031,146.860000610352
2020-01-09,7879.0712890625,211.583221435547,146.029998779297
2020-01-10,8166.55419921875,211.042144775391,146.910003662109
2020-01-13,8144.1943359375,213.476943969727,145.820007324219
2020-01-14,8827.7646484375,212.636352539062,145.690002441406
2020-01-15,8807.0107421875,212.723297119141,146.539993286133
2020-01-16,8723.7861328125,214.761947631836,146.309997558594
2020-01-17,8929.0380859375,215.824783325195,146.580001831055
2020-01-21,8745.89453125,215.728149414062,146.740005493164
2020-01-22,8680.8759765625,216.29817199707,146.789993286133
2020-01-23,8406.515625,216.993850708008,147.119995117188
2020-01-24,8445.4345703125,215.167755126953,147.979995727539
2020-01-27,8909.8193359375,210.723327636719,148.990005493164
2020-01-28,9358.58984375,213.960052490234,147.660003662109
2020-01-29,9316.6298828125,214.307861328125,148.460006713867
2020-01-30,9508.9931640625,215.071166992188,148.470001220703
2020-01-31,9350.529296875,211.660522460938,149.330001831055
2020-02-03,9293.521484375,214.858551025391,148.360000610352
2020-02-04,9180.962890625,219.776382446289,146.429992675781
2020-02-05,9613.423828125,220.501068115234,146.610000610352
2020-02-06,9729.8017578125,222.404449462891,147.399993896484
2020-02-07,9795.943359375,221.44792175293,147.789993286133
2020-02-10,9856.611328125,224.124252319336,148.169998168945
2020-02-11,10208.236328125,224.162841796875,147.660003662109
2020-02-12,10326.0546875,226.346405029297,147.539993286133
2020-02-13,10214.3798828125,226.056594848633,148.380004882812
2020-02-14,10312.1162109375,226.703903198242,149
2020-02-18,10141.99609375,226.790863037109,150.910003662109
2020-02-19,9633.38671875,228.964736938477,151.789993286133
2020-02-20,9608.4755859375,226.839157104492,152.410003662109
2020-02-21,9686.44140625,222.481719970703,154.699996948242
2020-02-24,9650.1748046875,213.902084350586,156.089996337891
2020-02-25,9341.705078125,208.085678100586,153.300003051758
2020-02-26,8820.5224609375,209.158142089844,153.970001220703
2020-02-27,8784.494140625,198.684768676758,154
2020-02-28,8672.455078125,198.83935546875,148.380004882812
2020-03-02,8869.669921875,209.100189208984,149.199996948242
2020-03-03,8787.7861328125,202.394866943359,153.889999389648
2020-03-04,8755.24609375,210.839263916016,154.160003662109
2020-03-05,9078.7626953125,204.433517456055,157.490005493164
2020-03-06,9122.5458984375,200.984298706055,157.550003051758
2020-03-09,7923.64453125,187.022994995117,157.809997558594
2020-03-10,7909.7294921875,197.206497192383,154.479995727539
2020-03-11,7911.43017578125,188.6171875,153.929992675781
2020-03-12,4970.7880859375,171.322616577148,147.789993286133
2020-03-13,5563.70703125,185.834579467773,143.279998779297
2020-03-16,5014.47998046875,163.57389831543,141.639999389648
2020-03-17,5225.62939453125,175.979583740234,143.559997558594
2020-03-18,5238.4384765625,170.626922607422,140.699996948242
